Months, PHX_Housing_Inventory
January 2019,5465	
February 2019,5503
March 2019,5562
April 2019,5715	
May 2019,5740
June 2019,5347	
July 2019,5949	
August 2019,6092	
September 2019,6183	
October 2019,5936	
November 2019,5710
December 2019,5269	
January 2020,4846	
February 2020,4622	
March 2020,4589
April 2020,4629	
May 2020,4329
June 2020,3621	
July 2020,3703
August 2020,3632	
September 2020,4334	
October 2020,4473	
November 2020,4236	
December 2020,3693	
January 2021,3395	
February 2021,3542	
March 2021,3693	
April 2021,3863	
May 2021,3513	
June 2021,2748
July 2021,2575	
August 2021,2519	
September 2021,2514	
October 2021,2812	
November 2021,2811	
December 2021,2992	
January 2022,3231	
February 2022,3181	
March 2022,3238
April 2022,3263
May 2022,2903	
June 2022,2349	
July 2022,2283

